sz	002268
sz	000100
sh	603722
sz	002747
sh	603580
sh	603638
sz	002619
sh	603989
sz	002740
sh	600643
sz	002610
sh	600933
sh	603020
sz	002416
sz	002403
sh	603214
sz	002136
sh	600207
sz	000553
sh	603031
sh	600299
sh	600761
sh	600502
sh	603696
sz	002635
sh	603345
sz	002875
sz	002235
sh	600298
sz	000969
sh	603658
sh	600816
sh	600569
sh	600397
sh	603839
sz	000898
sz	002667
sh	600661
sz	002940
sh	603363
sz	002227
sz	002292
sz	002614
sh	603001
sz	002668
sz	002950
sz	002338
sz	002701
sz	002755
sz	002913
sz	002239
sz	002587
sz	002231
sh	603229
sh	600336
sz	002172
sz	002245
sh	603489
sz	002592
sh	600581
sz	002170
sh	601212
sh	603861
sh	600004
sh	600332
sh	603360
sz	002455
sh	600681
sh	603331
sh	600865
sh	603823
sh	600468
sh	603959
sh	600827
sh	601339
sz	002568
sz	002696
sz	002776
sh	603398
sz	002634
sh	600010
sz	002552
sh	600989
sh	601968
sh	600019
sh	600379
sz	002476
sh	600973
sz	000595
sh	600456
sh	601011
sz	000690
sz	002514
sh	600845
sz	002047
sh	600550
sh	600048
sz	002286
sh	603197
sh	600794
sz	002154
sh	600386
sz	002613
sz	000582
sh	601588
sh	600598
sz	000788
sz	002151
sh	600435
sh	600262
sz	000065
sz	002371
sh	600111
sz	002246
sh	600861
sz	002350
sz	002392
sz	000802
sh	601169
sh	600980
sh	600733
sh	603009
sz	002148
sz	000786
sz	002307
sz	002828
sz	000710
sz	002570
sh	603059
sz	000761
sz	002594
sz	002832
sh	600302
sz	000695
sh	601678
sz	002244
sz	000811
sh	600130
sh	603596
sh	600966
sh	603727
sh	603936
sh	600880
sz	002282
sz	002698
sh	603603
sh	600455
sh	603068
sh	601137
sh	600883
sh	600083
sz	002649
sz	002297
sz	000605
sh	603167
sh	600960
sz	000415
sz	002251
sh	603858
sh	601108
sz	000838
sh	600707
sh	600230
sz	002108
sz	000408
sh	603615
sz	002478
sz	002160
sh	603768
sz	000158
sh	603035
sh	601128
sh	603648
sz	002288
sz	000823
sh	603322
sz	002345
sh	600969
sh	603367
sh	603685
sh	603899
sz	000488
sz	002447
sz	002628
sh	603053
sh	601838
sh	603316
sh	603811
sz	000990
sz	000848
sh	603887
sz	000885
sh	600266
sh	600229
sh	600649
sh	600078
sh	600497
sh	600988
sz	002815
sh	601999
sz	002171
sh	600035
sz	002253
sz	002895
sz	000155
sz	002272
sh	600674
sh	603100
sz	002010
sz	002866
sh	603012
sz	000810
sz	002173
sh	600874
sz	000551
sh	603129
sh	603657
sh	600854
sh	603890
sh	601021
sz	002547
sh	603516
sz	002343
sh	603968
sz	002731
sh	603123
sz	002209
sz	002030
sz	002512
sz	002421
sz	002385
sz	002901
sh	603233
sh	600327
sz	000613
sh	603081
sz	002077
sh	603025
sh	600288
sh	600257
sz	002236
sz	002487
sz	002505
sz	000530
sh	603963
sz	002214
sz	002606
sh	601880
sh	600719
sh	600593
sz	000679
sz	002204
sh	600159
sh	600094
sh	603955
sh	601006
sz	000985
sh	600694
sh	603687
sh	600892
sh	600198
sh	601991
sz	000593
sh	601001
sh	600558
sz	000910
sz	002249
sh	603278
sh	600403
sh	603757
sz	000031
sh	601519
sh	600635
sh	600611
sz	002008
sh	603730
sz	002618
sh	600844
sz	000673
sh	600136
sz	002852
sz	002838
sz	002632
sh	603800
sh	603303
sz	002330
sz	002055
sh	603056
sh	603177
sz	002631
sh	603701
sz	002571
sz	002666
sz	002054
sz	000049
sz	002920
sz	002908
sh	603032
sz	000813
sz	002041
sz	002715
sh	603320
sh	600565
sh	603335
sh	603587
sz	002798
sz	002797
sh	600833
sz	002730
sz	000917
sh	603258
sh	600658
sh	603383
sz	002502
sh	603876
sh	603421
sz	000423
sh	600178
sh	600693
sz	000686
sz	000597
sh	601208
sz	002675
sh	603110
sh	600278
sh	603606
sh	600875
sz	000682
sz	002167
sh	600115
sh	603706
sh	600811
sz	002889
sh	600086
sz	002611
sh	600637
sz	000958
sz	000301
sh	603377
sz	000962
sz	002545
sh	600776
sh	600753
sz	002271
sz	002310
sh	600958
sz	002819
sh	601515
sh	600081
sh	600006
sz	002117
sz	000828
sh	603856
sh	600133
sz	002140
sz	002221
sz	002065
sz	002672
sz	002199
sz	000893
sh	600114
sz	002135
sh	603595
sh	600718
sz	002384
sh	601555
sz	002017
sh	601198
sz	000413
sz	000040
sh	600673
sz	002713
sz	002793
sh	603359
sh	600405
sh	600354
sz	002011
sz	002407
sh	603528
sz	002761
sz	000888
sh	600295
sz	000501
sz	002262
sz	002812
sz	002467
sz	002195
sz	000890
sh	600563
sh	603966
sz	000046
sh	603039
sz	000055
sh	600516
sh	600507
sh	603998
sz	002196
sh	600601
sh	601901
sh	603868
sh	600651
sz	002536
sz	000026
sh	603226
sz	002027
sz	002681
sh	600615
sz	000713
sh	601996
sh	603810
sz	002805
sz	000153
sh	601700
sz	000636
sh	600469
sh	603466
sz	000561
sh	600498
sz	002931
sh	601928
sh	600716
sh	600071
sz	002760
sh	600493
sz	002644
sz	002911
sz	000541
sz	000973
sz	002083
sh	600452
sz	002507
sh	603315
sh	600965
sh	603166
sh	603045
sh	600033
sz	002679
sh	600802
sz	002222
sh	601865
sh	600483
sh	600203
sh	603327
sh	603806
sh	600166
sz	000926
sh	600660
sh	600624
sh	600196
sz	002327
sz	000030
sz	002479
sz	002743
sz	002357
sz	002818
sz	000836
sz	000791
sz	000779
sz	002460
sz	000899
sh	600269
sz	002414
sz	000851
sz	002778
sz	002348
sh	603588
sz	002848
sz	000628
sz	002827
sz	002241
sh	600037
sh	603808
sh	603232
sh	600185
sz	000651
sz	002340
sh	600068
sh	601398
sh	601138
sz	002655
sh	603118
sz	000564
sz	000596
sh	600059
sz	002694
sh	603816
sh	600067
sh	600433
sh	600251
sh	600622
sh	601818
sh	601788
sh	600184
sz	002741
sh	600708
sh	600597
sz	002625
sz	002281
sz	002708
sz	002524
sh	600979
sz	002187
sz	002103
sh	601616
sz	002967
sh	600831
sz	002152
sz	000576
sz	002101
sh	603386
sh	600382
sh	600589
sz	000776
sz	000529
sh	600256
sh	600297
sh	600603
sz	000952
sz	000096
sz	002410
sh	601238
sh	600894
sh	601333
sh	600259
sz	002482
sh	600936
sh	603599
sz	000537
sz	002133
sh	600771
sh	600098
sh	601228
sh	603043
sz	000523
sh	600996
sh	600523
sh	603555
sh	600992
sh	600459
sh	601997
sz	002424
sz	000589
sh	600519
sh	600903
sh	600310
sz	002820
sh	600236
sz	000978
sz	002275
sz	000688
sz	002377
sh	600795
sh	600406
sh	600268
sz	002768
sh	600538
sh	601086
sz	000859
sz	002045
sz	002749
sz	000750
sh	600335
sh	600444
sz	000159
sz	000516
sh	603060
sh	600109
sh	603613
sh	600358
sz	002093
sh	603915
sh	600898
sz	000004
sh	600562
sz	002670
sh	603977
sh	601211
sz	002205
sh	600886
sh	600962
sh	600061
sz	000503
sh	600617
sz	002736
sz	002449
sz	002074
sh	600511
sz	000028
sz	000728
sh	600187
sz	002615
sh	600095
sz	000584
sh	600202
sz	002900
sh	603958
sh	600864
sh	600664
sz	002206
sz	002311
sz	002184
sz	000567
sh	600690
sz	002465
sh	600555
sh	600515
sh	600751
sh	600221
sz	000616
sz	002415
sh	600398
sh	600619
sh	603639
sh	603718
sz	002537
sz	002203
sh	603138
sz	002255
sh	600585
sz	000619
sz	000886
sz	000566
sh	601969
sz	002596
sh	601118
sz	002583
sz	002344
sh	603269
sz	002084
sz	002399
sh	603069
sh	603187
sz	002653
sh	600082
sz	002023
sh	601882
sh	603288
sh	600837
sz	000078
sz	002320
sh	603817
sz	002099
sh	600851
sz	002702
sz	000921
sh	600060
sh	603115
sh	603556
sz	002724
sz	000861
sh	600968
sh	600583
sz	002529
sh	600387
sh	600267
sh	603616
sz	002498
sz	002412
sh	600774
sz	002362
sz	002158
sh	600323
sh	600226
sh	603298
sh	601177
sh	603618
sh	600126
sz	002534
sh	600477
sz	002430
sh	600814
sh	600926
sh	600893
sh	600391
sz	000738
sz	000818
sh	600987
sz	002389
sh	600501
sz	002025
sh	600879
sh	600343
sz	000547
sh	603698
sh	600151
sz	000901
sh	600677
sh	600271
sh	600855
sz	002963
sz	002595
sh	603809
sh	600467
sh	603898
sz	002729
sh	603848
sz	002582
sh	600640
sh	600378
sh	601101
sz	000757
sh	603609
sh	603063
sh	603909
sh	603011
sz	000417
sz	002208
sz	000633
sh	603917
sz	002217
sh	603260
sz	002228
sz	002383
sh	603077
sz	002402
sz	002816
sz	002824
sz	000923
sz	000709
sz	002068
sh	600510
sz	000716
sh	600487
sz	002237
sz	002104
sz	002591
sh	600356
sz	002492
sz	002808
sz	002219
sh	600346
sz	000622
sh	601100
sh	603661
sz	002947
sh	600276
sh	603985
sh	600570
sh	600305
sz	000677
sh	603223
sh	603496
sz	002132
sz	000703
sh	603106
sh	600971
sz	002056
sz	002504
sh	603015
sz	002833
sh	600128
sz	002890
sz	002165
sz	000525
sh	600400
sz	002697
sz	002809
sh	603116
sh	601236
sh	600367
sh	600758
sh	603002
sz	002930
sz	002379
sz	002144
sh	600331
sh	600532
sz	002211
sz	002683
sh	600885
sh	603256
sh	603336
sz	002062
sh	603090
sh	600122
sh	600461
sh	600316
sz	002802
sz	002325
sz	002229
sz	002002
sz	002955
sz	002541
sh	603267
sz	000665
sz	000883
sz	000722
sh	600731
sz	002155
sz	000548
sh	600929
sz	002463
sh	603007
sh	600909
sz	002004
sh	600812
sz	002274
sh	600155
sh	603358
sz	002035
sh	600027
sh	601226
sh	600850
sz	000727
sz	002248
sz	000963
sz	002685
sh	600325
sh	600448
sz	002064
sz	002806
sz	002042
sz	000988
sh	600475
sh	600521
sz	002645
sh	600629
sz	000532
sz	000059
sz	000068
sz	002007
sh	603038
sh	600503
sz	000882
sz	000036
sh	600361
sz	002945
sz	000932
sh	603356
sh	600375
sh	600426
sh	603042
sz	000850
sh	603128
sh	603306
sz	000607
sz	002270
sh	600011
sh	600025
sh	603121
sz	000069
sh	603855
sz	002453
sz	000999
sh	600062
sz	002907
sh	600156
sh	600410
sz	000156
sz	002494
sz	000509
sh	600308
sh	601688
sh	603679
sz	000428
sz	002185
sz	000976
sh	603300
sz	002893
sz	002758
